pci_2,description
"01.01","Establish and implement firewall and router configuration standards"
"01.02","Build firewall and router configurations that restrict connections between untrusted networks and any system components in the cardholder data environment"
"01.03","Prohibit direct public access between the Internet and any system component in the cardholder data environment"
"01.04","Install personal firewall software on any mobile and/or employee-owned devices that connect to the Internet "
"01.05","Ensure that security policies and operational procedures for managing firewalls are documented, in use, and "
"02.01","Always change vendor-supplied defaults and remove or disable unnecessary default accounts before installing a system on the network"
"02.02","Develop configuration standards for all system components. Assure that these standards address all known security vulnerabilities and are consistent with industry-accepted system hardening standards"
"02.03","Encrypt all non-console administrative access using strong cryptography. Use technologies such as SSH, VPN, or SSL/TLS for web-based management and other non-console "
"02.04","Maintain an inventory of system components that are in scope for PCI DSS requirements"
"02.05","Ensure that security policies and operational procedures for managing vendor defaults and other security parameters are documented, in use, and known to all affected parties "
"02.06","Shared hosting providers must protect each entity’s hosted environment and cardholder data. These providers must meet specific requirements as detailed in Appendix A: Additional PCI DSS Requirements for Shared Hosting Providers"
"03.01","Keep cardholder data storage to a minimum by implementing data retention and disposal policies, procedures and processes that include at least the following for all CHD storage:;sLimiting data storage amount and retention time to that which is required for legal, regulatory, and business requirements ;sProcesses for secure deletion of data when no longer needed;sSpecific retention requirements for cardholder data;sA quarterly automatic or manual process for identifying and securely deleting stored cardholder data that exceeds defined retention"
"03.02","Do not store sensitive authentication data after authorization (even if encrypted). If sensitive authentication data is received, render all data irretrievable upon completion of the authorization process"
"03.03","Mask PAN when displayed (the first six and last four digits are the maximum number of digits to be displayed), such that only personnel with a legitimate business need can see the full PAN"
"03.04","Render PAN unreadable anywhere it is stored (including on portable digital media, backup media, and in logs) by using any of the following approaches: One-way hashes based on strong cryptography (hash must be of the entire PAN); Truncation (hashing cannot be used to replace the truncated segment of PAN); Index tokens and pads (pads must be securely stored); Strong cryptography with associated key management processes and procedures"
"03.05","Document and implement procedures to protect keys used to secure stored cardholder data against disclosure and misuse: "
"03.06","Fully document and implement all key-management processes and procedures for cryptographic keys used for encryption of cardholder data, including the following:"
"03.07","Ensure that security policies and operational procedures for protecting stored cardholder data are documented, in use, and known to all affected parties"
"04.01","Use strong cryptography and security protocols (for example, SSL/TLS, IPSEC, SSH, etc.) to safeguard sensitive cardholder data during transmission over open, public networks, including the following: ; Only trusted keys and certificates are accepted.; The protocol in use only supports secure versions or configurations.; The encryption strength is appropriate for the encryption methodology in use"
"04.02","Never send unprotected PANs by end-user messaging technologies (for example, e-mail, instant messaging, chat, etc.)"
"04.03","Ensure that security policies and operational procedures for encrypting transmissions of cardholder data are documented, in use, and known to all affected parties"
"05.01","Deploy anti-virus software on all systems commonly affected by malicious software (particularly personal computers and servers)"
